,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,A.1_Expected Annual Damage,A.1_Dike Investment Costs,A.1_Expected Number of Deaths,A.2_Expected Annual Damage,A.2_Dike Investment Costs,A.2_Expected Number of Deaths,A.3_Expected Annual Damage,A.3_Dike Investment Costs,A.3_Expected Number of Deaths,A.4_Expected Annual Damage,A.4_Dike Investment Costs,A.4_Expected Number of Deaths,A.5_Expected Annual Damage,A.5_Dike Investment Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,6,0,9,2,1,4,5,3,10,7,0,8,1,0,9,4,5,2,0,1,0.0,165026199.05882242,0.0,988235.0062179981,142739470.44542313,0.0004555485248287346,0.0,115273778.05551913,0.0,0.0,34642037.493008405,0.0,12176359.437219791,79966167.72241855,0.005288459049253718,1164700000.0,0.0
1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,4,1,8,1,9,3,1,8,0,4,9,0,3,1,3,3,3,1,4,10,2,0.0,155840742.15014142,0.0,0.0,211965961.84284037,0.0,0.0,71831046.38693634,0.0,0.0,29582406.110525247,0.0,7192532.437566084,91143478.948996,0.0003751691664032925,862300000.0,250.24537005852676
2,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,4,0,5,1,5,8,5,2,2,7,1,4,4,1,7,8,1,7,9,5,0,0.0,92648501.6727509,0.0,0.0,247507906.83816773,0.0,0.0,85020849.79796785,0.0,1615932.1807461511,27816090.33425258,4.8678708303638286e-05,35129344.48046573,134150446.9969973,0.0018367762877310873,997200000.0,1280.521920908339
3,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,4,10,1,4,5,10,3,1,5,6,0,8,0,3,4,1,4,8,7,4,0,0.0,210102009.8443982,0.0,0.0,256337764.33357233,0.0,0.0,88493738.80547373,0.0,828441.8932483376,16108916.742160894,2.2943434919965128e-05,0.0,98944592.5665866,0.0,1810100000.0,33.1852393148743
4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,8,3,4,7,0,10,10,8,4,3,3,3,2,3,7,7,10,3,1,22024422.30986318,168825930.42298335,0.0027163526181141796,0.0,137220471.0599543,0.0,0.0,179096509.8721053,0.0,0.0,30059556.316496484,0.0,0.0,96758507.80115426,0.0,408000000.0,89.42091723512938
5,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,3,6,7,9,4,9,2,3,0,4,1,8,6,3,0,6,4,2,5,9,2,0.0,276043361.5577911,0.0,0.0,222568006.88885653,0.0,0.0,53401633.19836887,0.0,0.0,40010938.535239995,0.0,0.0,74896439.20493636,0.0,1954500000.0,0.0
6,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,4,6,5,8,6,0,0,1,1,5,4,8,8,4,5,6,6,5,1,2,2,0.0,237161696.09891078,0.0,0.0,66045103.44010488,0.0,0.0,72092374.52729654,0.0,0.0,52230088.49626914,0.0,0.0,129824143.1807656,0.0,1536100000.0,0.0
7,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,3,8,4,6,7,4,0,0,3,0,6,10,8,7,7,9,8,4,7,10,1,0.0,229772934.9810331,0.0,0.0,140822678.00042614,0.0,63247130.7890815,24198032.45136138,0.006506923304040229,0.0,65100561.053993,0.0,0.0,185121553.1835401,0.0,1115300000.0,1320.7619184513842
8,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,3,4,5,2,3,9,1,7,2,4,0,5,2,7,10,1,4,0,2,6,0,0.0,159994517.04263675,0.0,0.0,204616730.73087364,0.0,0.0,97993913.13137662,0.0,1481696.3536036524,19742157.81013341,4.1919981342617366e-05,0.0,162121998.84548092,0.0,735000000.0,50.10268740406603
9,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,4,6,7,7,7,8,0,3,2,4,1,0,7,1,3,10,9,5,8,4,0,0.0,249537648.9634626,0.0,0.0,176144524.04344413,0.0,0.0,79950391.97152747,0.0,4534097.29275705,21069784.935395602,0.00013896909143794737,0.0,122971229.03115994,0.0,877900000.0,167.99964123683617
